ligand	affinity
1a30_ligand	5.4721
1bcu_ligand	4.0425
1bzc_ligand	5.8201
1c5z_ligand	3.9116
1e66_ligand	7.5716
1eby_ligand	9.3657
1g2k_ligand	8.4164
1gpk_ligand	7.3865
1gpn_ligand	7.1250
1h22_ligand	8.4006
1h23_ligand	8.9944
1k1i_ligand	6.9429
1lpg_ligand	7.0330
1mq6_ligand	8.9752
1nc1_ligand	9.9711
1nc3_ligand	8.6823
1nvq_ligand	7.6261
1o0h_ligand	5.0278
1o3f_ligand	7.0548
1o5b_ligand	4.9985
1owh_ligand	5.1493
1oyt_ligand	7.5480
1p1n_ligand	6.7292
1p1q_ligand	6.0089
1ps3_ligand	4.7001
1pxn_ligand	6.5123
1q8t_ligand	6.1907
1q8u_ligand	6.1414
1qf1_ligand	7.8884
1qkt_ligand	7.3376
1r5y_ligand	6.1476
1s38_ligand	4.9598
1sqa_ligand	7.3486
1syi_ligand	5.1736
1u1b_ligand	6.1631
1uto_ligand	3.6315
1vso_ligand	4.5239
1w4o_ligand	4.2615
1y6r_ligand	10.6126
1yc1_ligand	7.6265
1ydr_ligand	5.2192
1ydt_ligand	6.7525
1z6e_ligand	10.0802
1z95_ligand	9.0233
1z9g_ligand	4.6702
2al5_ligand	6.8756
2br1_ligand	6.3935
2brb_ligand	5.8196
2c3i_ligand	7.1701
2cbv_ligand	6.0781
2cet_ligand	7.2626
2fvd_ligand	7.0872
2fxs_ligand	4.6457
2hb1_ligand	3.1358
2iwx_ligand	5.6352
2j78_ligand	6.5430
2j7h_ligand	6.9172
2p15_ligand	8.0915
2p4y_ligand	8.2189
2pog_ligand	6.1905
2qbp_ligand	6.8540
2qbq_ligand	6.3963
2qbr_ligand	6.8596
2qe4_ligand	6.0914
2qnq_ligand	6.4803
2r9w_ligand	3.9293
2v00_ligand	5.0431
2v7a_ligand	7.9125
2vkm_ligand	8.3361
2vvn_ligand	5.7508
2vw5_ligand	6.7808
2w4x_ligand	4.2498
2w66_ligand	4.2626
2wbg_ligand	5.6745
2wca_ligand	5.9533
2weg_ligand	6.3133
2wer_ligand	5.9150
2wn9_ligand	5.7696
2wnc_ligand	6.0005
2wtv_ligand	8.0702
2wvt_ligand	4.7770
2x00_ligand	8.9460
2xb8_ligand	7.0355
2xbv_ligand	8.3226
2xdl_ligand	4.9869
2xii_ligand	8.0818
2xj7_ligand	6.2110
2xnb_ligand	7.8890
2xys_ligand	6.6661
2y5h_ligand	7.3926
2yfe_ligand	6.0977
2yge_ligand	5.9582
2yki_ligand	9.2363
2ymd_ligand	7.1412
2zb1_ligand	7.8988
2zcq_ligand	5.1309
2zcr_ligand	6.7628
2zda_ligand	5.6797
2zy1_ligand	6.0537
3acw_ligand	7.5643
3ag9_ligand	7.9414
3ao4_ligand	4.9521
3arp_ligand	6.6456
3arq_ligand	6.5402
3aru_ligand	4.5885
3arv_ligand	5.3225
3ary_ligand	4.8243
3b1m_ligand	7.4714
3b27_ligand	5.5218
3b5r_ligand	8.9222
3b65_ligand	8.7944
3b68_ligand	8.1654
3bgz_ligand	4.5145
3bv9_ligand	6.9429
3cj4_ligand	6.2540
3coy_ligand	6.5268
3coz_ligand	5.4430
3d4z_ligand	5.8504
3d6q_ligand	3.2944
3dd0_ligand	8.4625
3dx1_ligand	6.2504
3dx2_ligand	7.3891
3dxg_ligand	2.9391
3e5a_ligand	8.1724
3e92_ligand	7.2515
3e93_ligand	8.5872
3ebp_ligand	4.9038
3ehy_ligand	7.9139
3ejr_ligand	7.4129
3f3a_ligand	6.0961
3f3c_ligand	6.5624
3f3d_ligand	6.1436
3f3e_ligand	6.5411
3fcq_ligand	3.4249
3fur_ligand	6.5929
3fv1_ligand	8.4287
3fv2_ligand	8.5459
3g0w_ligand	10.3391
3g2n_ligand	4.6023
3g2z_ligand	2.2316
3g31_ligand	3.6574
3gbb_ligand	6.8634
3gc5_ligand	7.2857
3ge7_ligand	7.6841
