1 , 1w6o , 3.34
100 , 2q89 , 6.3
102 , 2qeh , 8.62
103 , 2qvu , 6.44
104 , 2r3d , -0.15
105 , 2r5p , 8.48
106 , 2rde , 7.01
107 , 2v8q , 4.61
108 , 3b50 , 7.55
109 , 3bgq , 7.96
110 , 3bgz , 6.26
111 , 2v8y , 5.71
113 , 2jgb , 5.61
114 , 1gja , 5.42
116 , 1swk , 12
117 , 1ax1 , 3.29
119 , 1toi , 4.05
120 , 1iup , 2.54
121 , 1tog , 3.22
122 , 1uto , 2.27
123 , 1ukb , 3.19
124 , 1q72 , 6.85
126 , 2cjp , 3.1
127 , 1vot , 6.6
128 , 2fx6 , 3.7
129 , 2add , 2.46
13 , 2hzy , 7.39
130 , 2c1q , 13
131 , 2e2p , 4.74
132 , 2epn , 7.22
133 , 2i2c , 4.7
134 , 2j4k , 4.85
136 , 2jdu , 6.72
137 , 2jdy , 4.37
139 , 2jke , 4.23
14 , 2ihj , 4.59
141 , 2p3t , 11.3
143 , 2p4y , 9
144 , 2p7g , 6.53
145 , 2pqc , 5.74
147 , 2pvu , 6.31
148 , 2pyy , 4.61
149 , 2q6m , 6.29
15 , 2cli , 4.3
150 , 2q8z , 5.68
151 , 2qbq , 7.44
152 , 2qbr , 6.33
153 , 2qbs , 6.68
154 , 2qdt , 5.19
155 , 2qhy , 7.48
156 , 2qhz , 7.28
157 , 2qi1 , 7.3
158 , 2qi3 , 10.2
159 , 2qi4 , 10.44
160 , 2qi5 , 10.85
161 , 2qi6 , 10.57
162 , 2qmg , 9.15
163 , 2qmj , 4.21
164 , 2qnq , 6.11
167 , 2qrl , 4
168 , 2qry , 8.64
169 , 2r6w , 9.36
17 , 2ojg , 5.64
170 , 2r75 , 6.15
173 , 2rca , 7.79
174 , 2reg , 5.57
175 , 2rkd , 2.72
177 , 2uwl , 8.4
178 , 2uwp , 6.81
179 , 2uy4 , 4.68
18 , 2hzl , 6.57
180 , 2v2c , 3.41
181 , 2v77 , 5.06
182 , 2v7t , 7.48
183 , 2v7u , 5.9
184 , 2v7v , 6.66
187 , 2vhw , 5.09
189 , 2vkm , 8.74
191 , 2vmd , 3.02
193 , 2vpn , 6.72
194 , 2vuk , 3.82
195 , 2vw5 , 8.52
196 , 2w26 , 9.4
197 , 2z8f , 4.96
198 , 2zlz , 2.68
199 , 2zmm , 7.6
2 , 2arb , 4.41
20 , 2ovv , 7.92
200 , 2zn7 , 7.89
201 , 3b3c , 3.98
203 , 3b7r , 7.7
204 , 3bex , 5.57
206 , 3bl0 , 6.92
207 , 3brn , 8.7
208 , 3bu1 , 8.15
21 , 2h6t , 7.22
210 , 3bxe , 5.48
212 , 3c2f , 2
213 , 3c2o , 3.35
214 , 3c2r , 3.11
215 , 3c7i , 5.64
216 , 3ccw , 7.87
217 , 3ccz , 7.29
218 , 3cd7 , 7.84
222 , 3czv , 7.8
225 , 3d2r , 5.48
226 , 3d51 , 4.15
227 , 3d83 , 8.36
228 , 3ddg , 6
229 , 3dp4 , 7.37
23 , 2nta , 4.8
230 , 3e92 , 8
232 , 3eko , 6.7
233 , 3ekr , 5.55
234 , 3ene , 6.24
235 , 3eqr , 8.7
237 , 3f3d , 6.63
238 , 3f48 , 5.48
239 , 3f4j , 3.49
240 , 3f8c , 7.68
241 , 3fat , 7.64
242 , 3fas , 6.77
25 , 2isw , 7.43
26 , 2qu6 , 8.52
3 , 2are , 3.28
33 , 2pog , 9.54
34 , 2o4j , 10.1
39 , 3b92 , 8
41 , 2p98 , 6.19
42 , 2z4b , 9.36
43 , 2jj3 , 9.55
46 , 2h15 , 5.67
47 , 2pov , 7.12
48 , 2pow , 7.2
49 , 2nmx , 5.57
5 , 2oag , 8.47
51 , 1vso , 4.72
52 , 2p95 , 9.37
53 , 2p16 , 10.1
54 , 2jfz , 5.24
55 , 2flr , 6.1
56 , 2d2v , 1
58 , 2b1q , 1.59
59 , 2pgz , 5.74
6 , 2jbj , 9.7
60 , 2bys , 9.52
61 , 2gkl , 5.35
63 , 2nsl , 4.68
64 , 2nsj , 4.79
65 , 2c92 , 5.68
66 , 2c94 , 6.82
68 , 2nnq , 8.7
7 , 2pwd , 4.4
71 , 2psv , 7.24
73 , 2cem , 7.92
74 , 2cen , 8.3
75 , 2q54 , 9.01
77 , 2p09 , 6.35
78 , 2b3f , 6.03
79 , 2bbf , 5.1
8 , 2pwg , 4.82
81 , 2e2r , 8.26
82 , 2gz2 , 5.22
83 , 2hr6 , 4.92
86 , 2idz , 9.4
87 , 2ihk , 4.16
88 , 2ilz , 5.4
9 , 2oym , 5
91 , 2jff , 3.62
92 , 2oiq , 4.94
93 , 2otz , 3.63
94 , 2ou0 , 3.23
96 , 2pjo , 0.05
97 , 2pzv , 3.87
98 , 2q3c , 5.3
99 , 2q88 , 5.8
